Date;Localisation;ESR;Type
25/08/2014;Corgoloin;oui;Défaillance voie
26/08/2014;Chambéry;non;Déraillement sans engagement de la voie principale
21/08/2014;Miramas;non;Déraillement sans engagement de la voie principale
23/08/2014;Lille Flandres;oui;Franchissement de signal
30/08/2014;Varennes sur Allier;non;Porte ouverte en ligne
04/09/2014;Reignier;oui;Mise en œuvre de travaux en dehors du domaine fermé
06/09/2014;Noisy le Sec;non;Collision contre obstacle
02/09/2014;Rambouillet;non;Point limite d’un pantographe dépassé par une circulation électrique
28/08/2014;Bourget Triage;non;Incident de marchandise dangereuse
29/08/2014;Gennes Longuefuye;non;Déraillement sans engagement de la voie principale
02/09/2014;Collonges Fontaines;non;Franchissement de signal
03/09/2014;Rochefort sur Nenon;non;Appareil de voie mal disposé
04/09/2014;Nantes;non;Franchissement de signal
01/09/2014;Lyon Part Dieu;non;Porte ouverte en ligne
15/10/2014;Entre Sénas et Cavaillon;non;Franchissement de signal
20/10/2014;Clermont Ferrand;non;Porte ouverte en ligne
26/10/2014;Montereau;non;Franchissement de signal
17/10/2014;Ris Orangis;non;Talonnage d’aiguille ou bivoie
27/10/2014;Cercottes;non;Dégagement de fumée sur matériel roulant
21/10/2014;St Benoît;non;Talonnage d’aiguille ou bivoie
20/10/2014;Paris St Lazare;non;Collision avec enfoncement de heurtoir
22/10/2014;Lyon Marchandises;non;Talonnage d’aiguille ou bivoie
27/10/2014;Grenoble;non;Erreur d’itinéraire
09/09/2014;Limoges;non;Sortie intempestive ou engagement d’un domaine fermé
11/09/2014;Lyon Guillotière;oui;Mise en œuvre de travaux en dehors du domaine fermé
09/09/2014;Champigneulles;non;Mise en œuvre de travaux en dehors du domaine fermé
15/09/2014;Rennes;non;Erreur de procédure
08/09/2014;Entre Pantin et Noisy Le Sec;non;Départ sans autorisation
24/09/2014;Sucé sur Erdre;non;Franchissement de signal
22/09/2014;Achères Triage;non;Franchissement de signal
11/09/2014;Toulouse;non;Franchissement de signal
25/09/2014;Paris St Lazare;non;Dérive
08/09/2014;Paris St Lazare;non;Dérive
03/10/2014;Miramas;non;Collision entre trains ou éléments de trains
08/10/2014;Chanay;oui;Déraillement sans engagement de la voie principale
06/10/2014;Lûmes;non;Réception intempestive sur voie occupée
07/10/2014;Marignier;non;Talonnage d’aiguille ou bivoie
08/10/2014;Longeray Léaz;non;Intempéries
12/10/2014;Strasbourg;non;Déraillement sans engagement de la voie principale
14/10/2014;Vénissieux Technicentre;non;Déraillement sans engagement de la voie principale
14/10/2014;Miramas;non;Déraillement sans engagement de la voie principale
25/09/2014;Lens;non;Talonnage d’aiguille ou bivoie
09/10/2014;Nîmes;oui;Défaillance voie
04/11/2014;Entre Sausset les Pins et Carry Le Rouet;oui;Acte de malveillance
28/10/2014;Viescamps sous Jallès;oui;Déshuntage
